ticker,adsh,total_debt_status,lb,ub,cash_present,ocf_present,flags
TKO,0001193125-26-071651,PARTIAL,2.46804254408991,4.21135312761283,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
HII,0001501585-26-000006,PARTIAL,1.61036789297659,6.4180602006689,False,True,BS_CLOSURE_FAILED;CASH_MISSING;FACE_LINE_VALUE_NOT_FOUND;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
TECH,0001558370-25-011716,PARTIAL,0.639228532877074,,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
GNRC,0001437749-26-004568,PARTIAL,2.21349245852531,5.92089100365772,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
BEN,0000038777-25-000238,PARTIAL,-1.13676015383172,17.0523403057874,False,True,BS_CLOSURE_FAILED;CASH_MISSING;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
PNR,0000077360-26-000007,PARTIAL,1.88635247913598,3.6813942071674,False,True,BS_CLOSURE_FAILED;CASH_MISSING;FSDS_FACE_ONLY;INTEREST_CASH_BASIS;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
APTV,0001521332-26-000009,PARTIAL,2.60869565217391,5.520823798627,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
UHS,0001193125-26-071676,PARTIAL,2.47519921990864,4.35207951954439,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
FOX,0001628280-25-038077,PARTIAL,0.376353790613718,3.37936221419976,False,True,BS_CLOSURE_FAILED;CASH_MISSING;FSDS_FACE_ONLY;INTEREST_MISSING_WITH_DEBT;INTEREST_NET_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
MGM,0000789570-26-000018,PARTIAL,1.64749871312236,14.2463775679238,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
HRL,0000048465-25-000059,PARTIAL,2.58709543082469,5.7039494777291,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
TTD,0001671933-26-000014,MISSING,-0.663000984163728,3.03272923610964,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;INTEREST_CASH_BASIS;LEVERAGE_THRESHOLD_INDETERMINATE
BF.B,0000014693-26-000024,PARTIAL,2.194,3.566,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
