ticker,name,sector,cik,annual_period,annual_filed,core_metric_coverage_pct,extended_metric_coverage_pct,data_status,data_quality_flags,history_revenue_4y,history_opinc_4y,history_fcf_4y,history_diluted_shares_4y,sbc_current_present,revenue_cagr3_present,opinc_cagr3_present,fcf_cagr3_present,fcf_per_share_cagr3_present,market_price_present,market_cap_present,market_data_present
BRK.B,BERKSHIRE HATHAWAY INC CL B,-,1067983.0,20251231.0,20260302.0,83.3,75.0,PARTIAL,MISSING_DILUTED_SHARES,True,False,True,False,False,True,False,True,False,True,True,True
LLY,ELI LILLY + CO,-,59478.0,20251231.0,20260212.0,100.0,87.5,PRESENT,OK,True,False,False,True,True,True,False,False,False,True,True,True
AMD,ADVANCED MICRO DEVICES,-,2488.0,20251231.0,20260204.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
XOM,EXXONMOBIL HOLDINGS CORP,-,2115436.0,,,0.0,0.0,PARTIAL,MISSING_ANNUAL_FILING_IN_BULK_WINDOW;MISSING_REVENUE;MISSING_NET_INCOME;MISSING_ASSETS;MISSING_EQUITY;MISSING_OPERATING_CASH_FLOW;MISSING_DILUTED_SHARES,False,False,False,False,False,False,False,False,False,True,True,True
JNJ,JOHNSON + JOHNSON,-,200406.0,20251231.0,20260211.0,100.0,100.0,PRESENT,OK,True,False,True,True,True,True,False,True,True,True,True,True
V,VISA INC CLASS A SHARES,-,1403161.0,20250930.0,20251106.0,83.3,87.5,PARTIAL,MISSING_DILUTED_SHARES,True,True,True,False,True,True,True,True,False,True,True,True
MA,MASTERCARD INC A,-,1141391.0,20251231.0,20260211.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
WMT,WALMART INC,-,104169.0,20260131.0,20260313.0,100.0,100.0,PRESENT,OK,True,True,True,True,False,True,True,True,True,True,True,True
ABBV,ABBVIE INC,-,1551152.0,20251231.0,20260220.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
INTC,INTEL CORP,-,50863.0,20251231.0,20260123.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,False,False,False,True,True,True
CSCO,CISCO SYSTEMS INC,-,858877.0,20250731.0,20250903.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
PLTR,PALANTIR TECHNOLOGIES INC A,-,1321655.0,20251231.0,20260217.0,100.0,87.5,PRESENT,OK,True,True,True,True,True,True,False,True,True,True,True,True
COST,COSTCO WHOLESALE CORP,-,909832.0,20250831.0,20251008.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
BAC,BANK OF AMERICA CORP,-,70858.0,20251231.0,20260225.0,100.0,87.5,PRESENT,OK,True,False,False,True,True,True,False,False,False,True,True,True
CVX,CHEVRON CORP,-,93410.0,20251231.0,20260224.0,83.3,87.5,PARTIAL,MISSING_DILUTED_SHARES,True,False,True,False,False,True,False,True,False,True,True,True
LRCX,LAM RESEARCH CORP,-,707549.0,20250630.0,20250811.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
CAT,CATERPILLAR INC,-,18230.0,20251231.0,20260213.0,100.0,100.0,PRESENT,OK,True,True,True,True,False,True,True,True,True,True,True,True
MRK,MERCK + CO. INC.,-,310158.0,20251231.0,20260224.0,83.3,87.5,PARTIAL,MISSING_DILUTED_SHARES,True,False,False,False,True,True,False,False,False,True,True,True
